,점포명,제품군,판매량
1493,(930)죽전점,S Type,2686
68,(150)E/T구성점,S Type,2174
1355,(470)성수점,S Type,2147
59,(1417)E/T월계점,S Type,2092
1544,(947)동탄점,S Type,2022
1619,(974)가든5점,S Type,1951
1466,(840)월계점,S Type,1946
1430,(720)수지점,S Type,1824
1412,(650)명일점,S Type,1820
38,(1409)E/T수원점,S Type,1813
44,(1412)E/T스타필드하남점,S Type,1763
1373,(550)은평점,S Type,1746
47,(1413)E/T스타필드고양점,S Type,1712
1505,(934)서귀포점,S Type,1689
1586,(962)경기광주점,S Type,1687
14,(1158)세종점,S Type,1639
1388,(600)안양점,S Type,1615
8,(1156)풍산점,S Type,1615
1634,(979)마포공덕점,S Type,1593
20,(1160)광교점,S Type,1564
