,점포명,제품군,판매량
1393,(610)부천점,C Type,13397
1387,(600)안양점,C Type,11806
1594,(966)성남점,C Type,11732
1372,(550)은평점,C Type,10278
1390,(601)시화점,C Type,9480
1420,(690)고잔점,C Type,9473
1585,(962)경기광주점,C Type,8882
1360,(490)천안점,C Type,8447
808,(400)상봉점,C Type,8410
802,(380)가양점,C Type,8395
1435,(740)속초점,C Type,8279
1414,(660)연수점,C Type,7869
1498,(932)오산점,C Type,7842
790,(340)구로점,C Type,7831
1375,(560)여수점,C Type,7750
1369,(540)평택점,C Type,7706
1483,(900)순천점,C Type,7652
1591,(964)제천점,C Type,7555
1354,(470)성수점,C Type,7276
1423,(700)문현점,C Type,7260
