날짜,상품1,상품2,상품3,상품4,상품5,상품6,상품7
2017-01-02,120,28,73,101,22,32,375
2017-01-03,25,90,136,43,0,33,325
2017-01-04,15,22,46,66,0,0,149
2017-01-05,7,28,25,17,0,0,76
2017-01-06,9,6,22,15,0,0,51
2017-01-09,46,72,63,82,0,0,253
2017-01-10,41,20,53,18,0,0,131
2017-01-11,6,13,11,4,0,0,34
2017-01-12,7,23,124,7,0,0,161
2017-01-13,9,12,4,1,0,0,26
2017-01-16,3,1,7,0,0,0,10
2017-01-17,7,48,112,0,0,0,167
2017-01-18,43,16,17,,,,76
2017-01-19,,4,4,,,,8
2017-01-20,0,62,56,0,0,0,118
2017-01-23,2,34,3,0,0,0,39
2017-01-24,15,19,0,0,0,0,34
2017-01-31,1,1,8,0,0,0,10
2017-02-01,0,-19,20,0,0,0,1
2017-02-02,,,1,1,,,1
2017-02-06,,,1,,,,1
2017-02-07,,3,,,,,3
2017-02-10,,,6,,,,6
2017-02-16,3,,,,,,3
2017-02-17,0,1,0,0,0,0,1
2017-02-23,,,,,,,
2017-12-27,0,0,1,0,37,0,38
2017-12-28,-19,,,,,,-19
2017-12-29,19,11,26,57,0,0,113
2017-01-23,12,42,133,34,0,95,316
2017-01-24,74,38,113,159,0,75,454
2017-01-31,226,286,327,479,0,0,1318
2017-02-01,16,41,53,62,0,0,172
2017-02-02,24,11,43,186,0,0,264
2017-02-03,7,38,64,34,0,20,163
2017-02-06,8,37,45,33,0,0,121
2017-02-07,6,11,27,26,0,0,70
2017-02-08,42,4,25,31,0,0,102
2017-02-09,1,34,19,,,,54
2017-02-10,2,3,14,6,,,25
2017-02-13,3,6,8,7,0,0,24
2017-02-14,8,1,12,17,0,0,37
2017-02-15,4,1,17,5,0,0,27
2017-02-16,3,2,4,2,0,0,7
2017-02-17,5,3,6,7,0,0,21
2017-02-20,3,1,22,0,0,0,26
2017-02-21,2,3,6,4,,,15
2017-02-22,2,0,5,9,0,0,16
2017-02-23,0,0,3,1,0,0,4
2017-02-24,1,,,,,,1
2017-02-27,0,7,2,0,0,0,9
2017-02-28,0,0,2,0,0,0,2
2017-03-02,,,,42,,,42
2017-03-03,,,3,,,,3
2017-03-06,16,1,1,0,,,18
2017-03-07,,1,,,,,1
2017-03-09,,,,5,,,5
