rank,name,position,age,nation,team,value
1,Kylian Mbappé,Centre-Forward,22,France,Paris Saint-Germain,€180.00m
2,Neymar,Left Winger,28,Brazil,Paris Saint-Germain,€128.00m
3,Sadio Mané,Left Winger,28,Senegal,Liverpool FC,€120.00m
4,Mohamed Salah,Right Winger,28,Egypt,Liverpool FC,€120.00m
5,Harry Kane,Centre-Forward,27,England,Tottenham Hotspur,€120.00m
6,Kevin De Bruyne,Attacking Midfield,29,Belgium,Manchester City,€120.00m
7,Trent Alexander-Arnold,Right-Back,22,England,Liverpool FC,€110.00m
8,Raheem Sterling,Left Winger,26,England,Manchester City,€110.00m
9,João Félix,Second Striker,21,Portugal,Atlético Madrid,€100.00m
10,Erling Haaland,Centre-Forward,20,Norway,Borussia Dortmund,€100.00m
11,Jadon Sancho,Right Winger,20,England,Borussia Dortmund,€100.00m
12,Bruno Fernandes,Attacking Midfield,26,Portugal,Manchester United,€90.00m
13,Serge Gnabry,Right Winger,25,Germany,Bayern Munich,€90.00m
14,Jan Oblak,Goalkeeper,27,Slovenia,Atlético Madrid,€90.00m
15,Romelu Lukaku,Centre-Forward,27,Belgium,Inter Milan,€90.00m
16,Heung-min Son,Left Winger,28,"Korea, South",Tottenham Hotspur,€90.00m
17,Joshua Kimmich,Defensive Midfield,25,Germany,Bayern Munich,€85.00m
18,Kai Havertz,Attacking Midfield,21,Germany,Chelsea FC,€81.00m
19,Ansu Fati,Left Winger,18,Spain,FC Barcelona,€80.00m
20,Alphonso Davies,Left-Back,20,Canada,Bayern Munich,€80.00m
21,Marcus Rashford,Left Winger,23,England,Manchester United,€80.00m
22,Virgil van Dijk,Centre-Back,29,Netherlands,Liverpool FC,€80.00m
23,Alisson,Goalkeeper,28,Brazil,Liverpool FC,€80.00m
24,Lionel Messi,Right Winger,33,Argentina,FC Barcelona,€80.00m
25,Matthijs de Ligt,Centre-Back,21,Netherlands,Juventus FC,€75.00m
